Annova gene	Phenotype MIM number
ACOX1	"过氧化物酶体酰基辅酶A氧化酶缺乏症(264470,AR)"
ACOX2	"先天性胆汁酸合成缺陷6(617308,AR)"
ACSF3	"联合丙二酸和甲基丙二酸尿症(614265,AR)"
ACVR1B	"胰腺癌(260350,AD,Mu,SMu)"
ACY1	"氨酰酶(氨基酰化酶)1缺乏症(609924,AR)"
ADCK3	"原发性辅酶Q10缺乏症4型(612016,AR)"
ADD1	"原发性高血压(145500,Mu)"
ADD3	"痉挛性截瘫50(612936,AR)"
ADH1C	"遗传性迟发型帕金森病(168600,Mu,?IC)"
ADK	"腺苷激酶缺乏性高蛋氨酸血症(614300,AR)"
ADRA2B	"家族性成人型肌阵挛性癫痫2(607876,AD)"
ADRB2	"肥胖症(601665,Mu,?AD,?AR)"
ADRB3	"肥胖症(601665,Mu,?AD,?AR)"
ADSL	"腺苷基琥珀酸酶缺乏症(103050,AR)"
AFF4	"CHOPS综合征(616368,AD)"
AFG3L2	"脊髓小脑性共济失调28(610246,AD);痉挛性共济失调5(614487,AR)"
AGA	"天冬氨酰基葡萄糖胺尿症(208400,AR)"
AGK	"线粒体DNA耗竭综合征10型(212350,AR)"
AGL	"糖原贮积病3型(232400,AR)"
AGPAT2	"全身性脂肪营养不良症1型(608594,AR)"
AGPS	"肢近端型点状软骨发育不良3型(600121,AR)"
AGRP	"肥胖症(601665,Mu,?AD,?AR)"
AGT	"原发性高血压(145500,Mu)"
AGTR1	"原发性高血压(145500,Mu)"
AGXT	"原发性高草酸尿症1型(259900,AR)"
AHCY	"高蛋氨酸血症与S-腺苷高半胱氨酸水解酶缺乏症(613752,AR)"
AIFM1	"联合氧化磷酸化缺乏症6(300816,XLR)"
AIP	"促肾上腺皮质激素分泌型垂体腺瘤(219090,AR);泌乳素分泌型垂体腺瘤(600634,);生长激素分泌型垂体腺瘤1(102200,AD,?SMu)"
AIRE	"自身免疫性多内分泌腺体综合征(240300,AD,?AR)"
AKR1C2	"46，XY性逆转8(614279,AR)"
AKR1C4	"46，XY性逆转8(614279,AR)"
AKR1D1	"先天性胆汁酸合成缺陷2(235555,AR)"
AKT2	"AKT2突变型局部脂肪代谢障碍(,AD)"
ALAD	"急性肝卟啉症(612740,AR)"
ALAS2	"X连锁红细胞生成性原卟啉病(300752,XLD);铁粒幼红细胞性贫血1型(300751,XLR)"
ALDH18A1	"常显皮肤松弛症3(616603,AD);常隐皮肤松弛症3A型(219150,IC,?AR);痉挛性截瘫9A(601162,AD);痉挛性截瘫9B(616586,AR)"
ALDH3A2	"Sjogren-Larsson综合症(270200,AR)"
ALDH4A1	"高脯氨酸血症2型(239510,AR)"
ALDH5A1	"琥珀酸半醛脱氢酶缺乏症(271980,AR)"
ALDH6A1	"甲基丙二酸半醛脱氢酶缺乏症(614105,AR)"
ALDH7A1	"吡哆醇依赖性癫痫(266100,AR)"
ALDOA	"糖原贮积病12型(611881,AR)"
ALDOB	"果糖不耐受[症](229600,AR)"
ALG1	"先天性糖基化障碍1K型(608540,AR)"
ALG11	"先天性糖基化障碍1P型(613661,AR)"
ALG12	"先天性糖基化障碍1G型(607143,AR)"
ALG13	"婴儿早期癫痫性脑病36型(300884,XLD)"
ALG2	"先天性糖基化障碍1I型(607906,AR)"
ALG3	"先天性糖基化障碍1D型(601110,AR)"
ALG6	"先天性糖基化障碍1C型(603147,AR)"
ALG8	"先天性糖基化障碍1H型(608104,AR)"
ALG9	"先天性糖基化障碍1L型(608776,AR)"
ALMS1	"Alstrom综合征(203800,AR)"
AMACR	"α-甲基酰基辅酶A消旋酶缺乏症(614307,AR);先天性胆汁酸合成缺陷4(214950,AR)"
AMH	"永久性苗勒氏管综合征(261550,AR)"
AMHR2	"永久性苗勒氏管综合征(261550,AR)"
AMN	"芬兰/挪威型巨幼细胞贫血症-1(261100,AR)"
AMPD1	"心肌腺苷脱氨酶缺乏型肌病(615511,AR)"
AMPD2	"痉挛性截瘫63(615686,AR);脑桥小脑发育不全9型(615809,AR)"
AMPD3	"红细胞AMP脱氨基酶缺乏症(612874,AR)"
AMT	"甘氨酸脑病(605899,AR)"
ANGPTL3	"家族性低β脂蛋白血症2(605019,AR)"
ANO10	"常隐脊髓小脑性共济失调10(613728,AR)"
AP1S1	"MEDNIK综合征(609313,AR)"
AP2S1	"低尿钙高血钙症3型(600740,AD)"
AP3B1	"Hermansky-Pudlak综合症2(608233,AR)"
AP3B2	"婴儿早期癫痫性脑病48型(617276,AR)"
AP4B1	"痉挛性截瘫47(614066,AR)"
AP4E1	"痉挛性截瘫51(613744,AR)"
AP4M1	"痉挛性截瘫50(612936,AR)"
AP4S1	"痉挛性截瘫52(614067,AR)"
AP5Z1	"痉挛性截瘫48(613647,AR)"
APC	"Gardner综合征(175100,AD);肝细胞癌(114550,SMu)"
APOA1	"Tangier病(205400,AR);低α脂蛋白血症(604091,AD);家族性内脏淀粉样变性(105200,AD)"
APOA2	"家族性高胆固醇血症(143890,AD)"
APOA5	"高甘油三脂血症(145750,AD);高脂蛋白血症5型(144650,AD)"
APOB	"APOB配体缺陷引起的高胆固醇血症(144010,AD);纯合性家族性高胆固醇血症(,AR);家族性低β脂蛋白血症1(615558,AR);家族性高胆固醇血症(143890,AD,AR);无β脂蛋白血症(200100,AR)"
APOC2	"高脂蛋白血症1B型(207750,AR)"
APOC3	"高α脂蛋白血症(143470,AD);载脂蛋白C3缺乏症(614028,AD)"
APOE	"高脂蛋白血症3型(617347,AD);海蓝组织细胞增生症(269600,AR);家族性高胆固醇血症(143890,AD,AR);脂蛋白肾病(611771,AD)"
APOPT1	"线粒体复合物IV缺乏症(220110,AR,Mi)"
APPL1	"年轻的成人发病型糖尿病14型(616511,AD)"
APRT	"腺嘌呤磷酸核糖基转移酶缺乏(614723,AR)"
APTX	"早发性共济失调和眼球运动障碍伴低蛋白血症(208920,AR)"
AQP2	"肾性尿崩症2(125800,AD,?AR)"
AR	"部分雄激素不敏感伴或不伴有乳腺癌(312300,XLR);雄激素不敏感综合征(300068,XLR)"
ARG1	"精氨酸血症(207800,AR)"
ARHGEF9	"婴儿早期癫痫性脑病8型(300607,XLR)"
ARL6	"Bardet-biedl综合征1(209900,DR,?AR);Bardet-biedl综合征3(600151,AR)"
ARL6IP1	"痉挛性截瘫61(615685,AR)"
ARMC5	"ACTH非依赖性肾上腺大结节样增生(615954,SMu,?AD)"
ARNT	"嗜铬细胞瘤(171300,AD)"
ARSA	"异染性脑白质营养不良(250100,AR)"
ARSE	"X连锁隐性遗传斑点状软骨发育异常(302950,XLR)"
ARSI	"痉挛性截瘫66(,AR)"
ARV1	"婴儿早期癫痫性脑病38型(617020,AR)"
ARVCF	"软腭-心-面综合征(192430,AD)"
ARX	"婴儿早期癫痫性脑病1型(308350,XLR)"
ASAH1	"Farber脂肪肉芽肿病(228000,AR)"
ASL	"精氨酰琥珀酸尿症(207900,AR)"
ASNS	"天冬酰胺合成酶缺乏症(615574,AR)"
ASPA	"Canavan病(271900,AR)"
ASS1	"瓜氨酸血症I型(215700,AR)"
ATIC	"ATIC缺乏性AICA核苷尿(608688,AR)"
ATL1	"痉挛性截瘫3A(182600,AD);遗传性感觉神经病1D(613708,AD);遗传性感觉神经病1E(614116,AD)"
ATL3	"遗传性感觉神经病1E(614116,AD);遗传性感觉神经病1F(615632,AD)"
ATM	"共济失调毛细血管扩张(208900,AR)"
ATP13A2	"痉挛性截瘫78(617225,AR)"
ATP1B1	"原发性高血压(145500,Mu)"
ATP5A1	"核4型线粒物复合物V缺乏症(615228,AR);联合氧化磷酸化缺乏症22(616045,AR)"
ATP5E	"核3型线粒体复合物V缺乏症(614053,AR)"
ATP6V0A2	"常隐皮肤松弛症2A型(219200,AR);皱皮综合征(278250,AR)"
ATP6V1A	"常隐皮肤松弛症2D型(617403,AR)"
ATP6V1E1	"常隐皮肤松弛症2C型(617402,AR)"
ATP7A	"Menkes病(309400,XLR);枕角综合征(304150,XLR)"
ATP7B	"Wilson病(277900,AR)"
ATP8B1	"进行性家族性肝内胆汁淤积症1(211600,AR);良性复发性肝内胆汁淤积症(243300,AR)"
ATPAF2	"核1型线粒体复合物V缺乏症(604273,AR)"
ATRX	"ATR-X综合征(301040,XLD);嗜铬细胞瘤(171300,AD)"
ATXN1	"脊髓小脑性共济失调1(164400,AD)"
ATXN10	"脊髓小脑性共济失调10(603516,AD)"
ATXN2	"脊髓小脑性共济失调2(183090,AD);遗传性迟发型帕金森病(168600,Mu,?IC)"
ATXN3	"脊髓小脑性共济失调3(109150,AD)"
ATXN7	"脊髓小脑性共济失调7(164500,AD)"
ATXN8OS	"脊髓小脑性共济失调8(608768,AD)"
AUH	"3-甲基戊烯二酸尿症1型(250950,AR)"
AVP	"神经垂体尿崩症(125700,AD)"
AVPR2	"肾性尿崩症1(304800,XLR)"
AXIN1	"肝细胞癌(114550,SMu)"
B2M	"家族性内脏淀粉样变性(105200,AD)"
B3GALNT2	"肌-眼-脑病A11型(615181,AR)"
B3GALT6	"先天性脊柱骨骺发育不良和关节松弛1型(271640,AR)"
B3GAT3	"多关节脱位，身材矮小，颅面异形，伴或不伴先天性心脏缺陷(245600,AR)"
B3GLCT	"先天性角膜中心白斑（Peters异常症）(261540,AR)"
B4GAT1	"肌-眼-脑病A13型(615287,AR)"
B4GALNT1	"痉挛性截瘫26(609195,AR)"
B4GALT1	"先天性糖基化障碍2D型(607091,AR)"
BAAT	"家族性高胆烷血症(607748,AR)"
BAP1	"嗜铬细胞瘤(171300,AD)"
BBIP1	"Bardet-biedl综合征18(615995,AR)"
BBS1	"Bardet-biedl综合征1(209900,DR,?AR)"
BBS10	"Bardet-biedl综合征10(615987,AR)"
BBS12	"Bardet-biedl综合征12(615989,AR)"
BBS2	"Bardet-biedl综合征2(615981,AR)"
BBS4	"Bardet-biedl综合征4(615982,AR)"
BBS5	"Bardet-biedl综合征5(615983,AR)"
BBS7	"Bardet-biedl综合征7(615984,AR)"
BCAP31	"耳聋，?肌张力障碍和?大脑低髓鞘化(300475,XLR)"
BCHE	"假性胆碱酯酶缺乏症(177400,AR)"
BCKDHA	"枫糖尿病1A型(248600,AR)"
BCKDHB	"枫糖尿病1B型(248600,AR)"
BCKDK	"支链酮酸脱氢酶缺乏症(614923,AR)"
BCOR	"小眼球综合征2型(300166,XLD)"
BCS1L	"Bjornstad综合征(262000,AR);Gracile综合症(603358,);核1型线粒体复合物III缺乏症(124000,AR);亚急性坏死性脑病(256000,AR,?Mi)"
BDNF	"WAGR综合征(194072,SMu,AD)"
BEAN1	"脊髓小脑性共济失调31(117210,AD)"
BLK	"年轻的成人发病型糖尿病11型(613375,AD)"
BLOC1S3	"Hermansky-Pudlak综合症8(614077,AR)"
BLOC1S6	"Hermansky-Pudlak综合症9(614171,AR)"
BMP1	"成骨不全13型(614856,AR)"
BMP15	"卵巢发育不全2(300510,AD)"
BMP2	"血色沉着病1型(235200,AR)"
BMP4	"小眼球综合征6型(607932,AD)"
BMP6	"血色沉着病5型(615517,AD)"
BOLA3	"多线粒体功能障碍综合征2伴高甘氨酸血症(614299,AR)"
BPGM	"双磷酸甘油酸变位酶缺乏引起的红细胞增多症(222800,AR)"
BRAF	"Noonan综合征7(613706,AD);颅咽管瘤(,);嗜铬细胞瘤(171300,AD)"
BRCA1	"嗜铬细胞瘤(171300,AD)"
BRCA2	"单一性生长激素缺乏症Ia型(262400,AR);嗜铬细胞瘤(171300,AD);胰腺癌(260350,AD,Mu,SMu)"
MPC1	"线粒体丙酮酸载体缺乏症(614741,AR)"
BSCL2	"痉挛性截瘫17(270685,AD);全身性脂肪营养不良症2型(269700,AR)"
BSND	"巴特综合征4A型(602522,AR)"
BTD	"生物素酶缺乏症(253260,AR)"
BTK	"单一性生长激素缺乏症Ⅲ型(307200,XLR)"
C10orf11	"眼皮肤白化病7型(615179,AR)"
C12orf65	"痉挛性截瘫55(615035,AR);联合氧化磷酸化缺乏症7(613559,AR)"
C15orf41	"先天性纯红细胞再生障碍性贫血1B型(615631,AR)"
C19orf12	"痉挛性截瘫43(615043,AR);脑铁蓄积型神经变性4(614298,AR)"
SUGCT	"戊二酸尿症3型(231690,AR)"
C8orf37	"Bardet-biedl综合征21(617406,AR)"
CA5A	"碳酸酐酶VA缺乏性高氨血症(615751,AR)"
CACNA1A	"脊髓小脑性共济失调6(183086,AD);婴儿早期癫痫性脑病42型(617106,AD)"
CACNA1G	"脊髓小脑性共济失调42(616795,AD)"
CACNA1H	"家族性醛固酮增多症4型(617027,AD)"
CACNA1S	"低钾性周期性麻痹1型(170400,AD)"
CAD	"婴儿早期癫痫性脑病50型(616457,AR)"
CALCR	"骨质疏松症(166710,AD)"
CAPN1	"痉挛性截瘫76(616907,AR)"
CARS2	"联合氧化磷酸化缺乏症27(616672,AR)"
CARTPT	"肥胖症(601665,Mu,?AD,?AR)"
CASP8	"肝细胞癌(114550,SMu)"
CASR	"常显低钙血症1型(601198,AD);低尿钙高血钙症1型(145980,AD);新生儿甲状旁腺功能亢进症(239200,AD,?AR)"
CAT	"血过氧化氢酶缺乏症(614097,AR)"
CAV1	"全身性脂肪营养不良症3型(612526,AR)"
CBL	"Noonan综合症样紊乱和有或无少年单核细胞性白血病(613563,AD)"
CBS	"高胱氨酸尿症(236200,AR)"
CBX2	"46，XY性逆转5(613080,AR)"
CCDC115	"先天性糖基化障碍2O型(616828,AR)"
CCDC28B	"Bardet-biedl综合征1(209900,DR,?AR)"
CCDC88C	"脊髓小脑性共济失调40(616053,AD)"
CCND1	"希佩尔·林道综合征(193300,AD)"
CCR5	"胰岛素依赖性糖尿病22(612522,)"
CD19	"常见变异型免疫缺陷病3(613493,AR)"
CD320	"传递蛋白受体缺陷所致甲基丙二酸尿症(613646,AR)"
CD81	"常见变异型免疫缺陷病6(613496,AR)"
CDAN1	"先天性纯红细胞再生障碍性贫血1A型(224120,AR)"
CDC73	"家族性甲状旁腺功能亢进症(145000,AD);甲状旁腺功能亢进-颌骨肿瘤综合征(145001,AD);甲状腺癌(608266,AD)"
CDKL5	"婴儿早期癫痫性脑病2型(300672,XLD)"
CDKN1B	"多发性内分泌肿瘤4(610755,AD)"
CDKN1C	"IMAGE综合征(614732,AD)"
CDKN2A	"嗜铬细胞瘤(171300,AD);胰腺癌(260350,AD,Mu,SMu);胰腺癌黑色素瘤综合征(606719,AD)"
CDKN3	"肝细胞癌(114550,SMu)"
CDON	"全前脑畸形11(614226,AD,?IC)"
CEL	"年轻的成人发病型糖尿病8型(609812,AD)"
CEP19	"病态肥胖伴生精障碍(615703,AR)"
CEP290	"Bardet-biedl综合征14(615991,AR)"
CERS1	"进行性肌阵挛性癫痫8(616230,AR)"
CERS2	"嗜铬细胞瘤(171300,AD)"
CETP	"高α脂蛋白血症(143470,AD)"
CFTR	"囊性纤维化(219700,AR);遗传性胰腺炎(167800,AD)"
CHCHD10	"常染色体显性遗传性孤立性线粒体肌病(616209,AD)"
CHCHD2	"常显帕金森病22(616710,AD)"
CHD7	"低促性腺激素性性腺功能减退症5(612370,AD)"
CHEK2	"李弗劳明综合征2(609265,AD)"
CHKB	"先天性巨圆锥体状肌营养不良症(602541,AR)"
CHMP1A	"脑桥小脑发育不全8型(614961,AR)"
CHST14	"Ehlers-Danlos综合症1型(601776,AR)"
CHSY1	"TemtamyPreaxialBrachydactyly综合症(605282,AR)"
CIDEC	"家族性局部脂肪代谢障碍5型(615238,AR)"
CIPC	"嗜铬细胞瘤(171300,AD)"
CISD2	"Wolfram综合征2型(604928,AR)"
CLCN4	"X连锁精神发育迟滞49(300114,XLR)"
CLCN5	"X连锁隐性低磷酸盐血症性佝偻病(300554,XLR)"
CLCNKA	"巴特综合征4B型(613090,DR)"
CLCNKB	"巴特综合征3型(607364,AR);巴特综合征4B型(613090,DR)"
CLDN16	"肾低镁血症3(248250,AR)"
CLDN19	"肾低镁血症5，累及眼(248190,AR)"
CLN3	"神经元蜡样脂褐质沉积症3(204200,AR)"
CLN5	"神经元蜡样脂褐质沉积症5(256731,AR)"
CLN6	"神经元蜡样脂褐质沉积症4A(204300,AR);神经元蜡样脂褐质沉积症6(601780,AR)"
CLN8	"神经元蜡样脂褐质沉积症8(600143,AR);神经元蜡样脂褐质沉积症8，Northern癫痫变异(610003,AR)"
CLP1	"脑桥小脑发育不全10型(615803,AR)"
CLPB	"3-甲基戊烯二酸尿症7型(616271,AR)"
CLPP	"Perrault综合征3(614129,AR)"
CNNM2	"肾低镁血症6(613882,AD)"
CNTN2	"家族性成人型肌阵挛性癫痫5(615400,AR)"
COA3	"线粒体复合物IV缺乏症(220110,AR,Mi)"
COA5	"线粒体复合物IV缺乏症(220110,AR,Mi)"
COA6	"线粒体复合物IV缺乏症(220110,AR,Mi)"
COASY	"脑铁蓄积型神经变性6(615643,AR)"
COG1	"先天性糖基化障碍2G型(611209,AR)"
COG2	"先天性糖基化障碍2Q型(617395,AR)"
COG4	"先天性糖基化障碍2J型(613489,AR)"
COG5	"先天性糖基化障碍2I型(613612,AR)"
COG6	"先天性糖基化障碍2L型(614576,AR)"
COG7	"先天性糖基化障碍2E型(608779,AR)"
COG8	"先天性糖基化障碍2H型(611182,AR)"
COL1A1	"成骨不全1型(166200,AD);成骨不全2型(166210,AD);成骨不全3型(259420,AD);成骨不全4型(166220,AD);骨质疏松症(166710,AD)"
COL1A2	"成骨不全2型(166210,AD);成骨不全3型(259420,AD);成骨不全4型(166220,AD);骨质疏松症(166710,AD)"
COL2A1	"Legg-Calve-Perthes病(150600,AD)"
COMT	"软腭-心-面综合征(192430,AD)"
COQ2	"原发性辅酶Q10缺乏症1型(607426,AR)"
COQ4	"原发性辅酶Q10缺乏症7型(616276,AR)"
COQ6	"原发性辅酶Q10缺乏症6型(614650,AR)"
COQ7	"原发性辅酶Q10缺乏症8型(616733,AR)"
COQ9	"原发性辅酶Q10缺乏症5型(614654,AR)"
COX10	"线粒体复合物IV缺乏症(220110,AR,Mi);亚急性坏死性脑病(256000,AR,?Mi)"
COX14	"线粒体复合物IV缺乏症(220110,AR,Mi)"
COX15	"线粒体复合物IV缺乏症(220110,AR,Mi);亚急性坏死性脑病(256000,AR,?Mi)"
COX20	"线粒体复合物IV缺乏症(220110,AR,Mi)"
COX4I2	"胰腺外分泌功能不全-纯红细胞再生障碍性贫血-颅骨骨质增生(612714,AR)"
COX6B1	"线粒体复合物IV缺乏症(220110,AR,Mi)"
COX8A	"线粒体复合物IV缺乏症(220110,AR,Mi)"
CP	"铜蓝蛋白缺乏症(604290,AR)"
CPA1	"遗传性胰腺炎(167800,AD)"
CPOX	"粪卟啉症(121300,AD)"
CPS1	"氨甲酰基磷酸合成酶Ⅰ缺乏症(237300,AR)"
CPT1A	"肉碱棕榈酰转移酶I缺乏症(255120,AR)"
CPT1C	"痉挛性截瘫73(616282,AD)"
CPT2	"肉碱棕榈酰转移酶II缺乏症(255110,AD,AR);新生儿致死性肉碱棕榈酰转移酶II缺乏症(608836,AR);婴儿型肉碱棕榈酰转移酶II缺乏症(600649,AR)"
CR2	"常见变异型免疫缺陷病7(614699,AR)"
CREB3L3	"迟发型高乳糜微粒血症(144650,AD)"
CREBBP	"Rubinstein-Taybi综合征1(180849,AD)"
CRIPT	"单一性生长激素缺乏症Ia型(262400,AR)"
CRTAP	"成骨不全7型(610682,AR)"
CSDE1	"嗜铬细胞瘤(171300,AD)"
CSF2RA	"肺表面活性物质代谢功能障碍4(300770,XL)"
CSF2RB	"肺表面活性物质代谢功能障碍5(614370,AR)"
CST3	"大脑淀粉样血管病(105150,AD)"
CSTB	"进行性肌阵挛性癫痫1A(254800,AR)"
CTH	"胱硫醚尿(219500,AR)"
CTLA4	"桥本甲状腺炎(140300,AD);胰岛素依赖性糖尿病12(601388,)"
CTNNB1	"肝细胞癌(114550,SMu);颅咽管瘤(,)"
CTNS	"成人型非肾病性胱氨酸贮积症(219750,AR);胱氨酸贮积症肾病(219800,AR);胱氨酸贮积症肾病(少年迟发或青年肾病型)(219900,AR)"
CTRC	"遗传性胰腺炎(167800,AD)"
CTSA	"半乳糖唾液酸贮积症(256540,AR)"
CTSC	"Haim-Munk综合征(245010,AR);Papillon-Lefevre综合症(245000,AR)"
CTSD	"神经元蜡样脂褐质沉积症10(610127,AR)"
CTSF	"神经元蜡样脂褐质沉积症13(615362,AR)"
CTSK	"致密性成骨不全症(265800,AR)"
CUBN	"芬兰/挪威型巨幼细胞贫血症-1(261100,AR)"
CUL3	"IIE型假性醛固酮减少症(614496,AD)"
CWF19L1	"常隐脊髓小脑性共济失调17(616127,AR)"
CYC1	"核6型线粒物复合物III缺乏症(615453,AR)"
CYP11A1	"肾上腺-性腺综合征(613743,AR)"
CYP11B1	"家族性醛固酮增多症1型(103900,AD);先天肾上腺皮质增生-11β羟化酶缺乏(202010,AR)"
CYP11B2	"皮质酮甲基氧化酶1型缺乏症(203400,AR);皮质酮甲基氧化酶2型缺乏症(610600,AR)"
CYP17A1	"先天肾上腺皮质增生-17α羟化酶缺乏(202110,AR)"
CYP19A1	"芳香化酶缺乏症(613546,AR)"
CYP1B1	"先天性角膜中心白斑（Peters异常症）(261540,AR)"
CYP21A2	"先天肾上腺皮质增生-21羟化酶缺乏(201910,AR)"
CYP24A1	"婴儿高钙血症1型(143880,AR)"
CYP27A1	"脑腱黄瘤病(213700,AR)"
CYP27B1	"维生素D依赖性佝偻病1A型(264700,AR)"
CYP2A6	"香豆素抵抗(122700,AD)"
CYP2B6	"依法韦仑弱代谢(614546,)"
CYP2C19	"CYP2C19相关性药物弱代谢(609535,AR)"
CYP2C9	"香豆素抵抗(122700,AD)"
CYP2D6	"CYP2D6相关性药物弱代谢(608902,AR)"
CYP2R1	"维生素D依赖性佝偻病1B型(600081,AR)"
CYP2U1	"痉挛性截瘫56(615030,AR)"
CYP3A5	"原发性高血压(145500,Mu)"
CYP7B1	"痉挛性截瘫5A(270800,AR);先天性胆汁酸合成缺陷3(613812,AR)"
D2HGDH	"D-2-羟基戊二酸尿症1型(600721,AR)"
DAG1	"肌-眼-脑病A9型(616538,AR);肌-眼-脑病C9型(613818,AR)"
DARS2	"脑白质病变与脑干和脊髓受累伴乳酸升高(611105,AR)"
DBH	"多巴胺β羟化酶缺乏症(223360,AR)"
DBT	"枫糖尿病2型(248600,AR)"
DCAF17	"Woodhouse-Sakati综合症(241080,AR)"
DCXR	"戊糖尿症(260800,AR)"
DDC	"芳香族L-氨基酸脱羧酶缺乏症(608643,AR)"
DDHD1	"痉挛性截瘫28(609340,AR)"
DDHD2	"肥胖症(601665,Mu,?AD,?AR);痉挛性截瘫54(615033,AR)"
DDOST	"先天性糖基化障碍1R型(614507,AR)"
DDX3X	"X连锁精神发育迟滞102(300958,XLD,XLR)"
DENND5A	"婴儿早期癫痫性脑病49型(617281,AR)"
DGUOK	"常隐进行性眼外肌麻痹伴线粒体DNA缺失4(617070,AR);线粒体DNA耗竭综合征3型(251880,AR)"
DHCR24	"Desmosterolosis(602398,AR)"
DHCR7	"史-伦-奥三氏综合证(270400,AR)"
DHFR	"二氢叶酸还原酶缺乏导致的巨幼细胞性贫血(613839,AR)"
DHH	"46，XY性逆转7(233420,AR)"
DHTKD1	"2-氨基脂肪2-氧代己二酸尿症(204750,AR);腓骨肌萎缩症2Q型(615025,AD)"
DIAPH2	"卵巢功能早衰2A(300511,XLD)"
DICER1	"多结节性甲状腺肿伴或不伴有睾丸间质细胞瘤(138800,AD)"
PARK7	"早发性常隐帕金森病7(606324,AR);少年型帕金森病2型(600116,AR)"
DLAT	"丙酮酸脱氢酶E2缺乏症(245348,AR)"
DLD	"双氢硫辛酰胺脱氢酶缺乏症(246900,AR);亚急性坏死性脑病(256000,AR,?Mi)"
DLL3	"脊椎肋骨发育不全1(277300,AR)"
DMGDH	"二甲基甘氨酸脱氢酶缺乏症(605850,AR)"
DMP1	"常隐低磷酸盐血症性佝偻病1(241520,AR)"
DNA2	"常显进行性眼外肌麻痹伴线粒体DNA缺失6(615156,AD);单一性生长激素缺乏症Ia型(262400,AR)"
DNAJB2	"腓骨肌萎缩症2T型(617017,AD,AR)"
DNAJC12	"非四氢生物蝶呤缺乏性高苯丙氨酸血症(617384,AR)"
DNAJC13	"帕金森病21(616361,AD);遗传性迟发型帕金森病(168600,AD)"
DNAJC19	"3-甲基戊烯二酸尿症5型(610198,AR)"
DNAJC3	"小脑和周围性共济失调耳聋糖尿病综合征(616192,AR)"
DNAJC5	"神经元蜡样脂褐质沉积症4B(162350,AD)"
DNAJC6	"少年型帕金森病19A(615528,AR);少年型帕金森病2型(600116,AR)"
DNM1	"婴儿早期癫痫性脑病31型(616346,AD)"
DNM1L	"线粒体过氧化物酶体分裂缺陷引起的致命脑病(614388,AD,?AR)"
DNM2	"腓骨肌萎缩症显性中间体B型(606482,AD)"
DNMT1	"遗传性感觉神经病1E(614116,AD)"
DOCK7	"婴儿早期癫痫性脑病23型(615859,AR)"
DOLK	"先天性糖基化障碍1M型(610768,AR)"
DPAGT1	"先天性糖基化障碍1J型(608093,AR)"
DPM1	"先天性糖基化障碍1E型(608799,AR)"
DPM2	"先天性糖基化障碍1U型(615042,AR)"
DPM3	"先天性糖基化障碍1O型(612937,AR)"
DPYD	"双（二）氢嘧啶脱氢酶缺乏(274270,AR)"
DPYS	"二氢嘧啶尿症(222748,AR)"
DSE	"Ehlers-Danlos综合症2型(615539,AR)"
DSG1	"先天性红皮病伴掌跖角化症、少毛症、高IgE(615508,AR)"
DSTYK	"痉挛性截瘫23(270750,AR)"
