HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
44280	RNA18S3	RNA, 18S ribosomal 3	Approved			15p12 not on reference assembly			RNA18S	18S ribosomal RNAs	1383
44281	RNA18S4	RNA, 18S ribosomal 4	Approved			21p12 not on reference assembly		NR_145820	RNA18S	18S ribosomal RNAs	1383
37657	RNA18S5	RNA, 18S ribosomal 5	Approved	RN18S1		22p12 not on reference assembly		NR_146119	RNA18S	18S ribosomal RNAs	1383
44286	RNA28S1	RNA, 28S ribosomal 1	Approved			13p12 not on reference assembly			RNA28S	28S ribosomal RNAs	1385
44287	RNA28S2	RNA, 28S ribosomal 2	Approved			14p12 not on reference assembly			RNA28S	28S ribosomal RNAs	1385
44288	RNA28S3	RNA, 28S ribosomal 3	Approved			15p12 not on reference assembly			RNA28S	28S ribosomal RNAs	1385
44289	RNA28S4	RNA, 28S ribosomal 4	Approved			21p12 not on reference assembly		NR_145822	RNA28S	28S ribosomal RNAs	1385
37659	RNA28S5	RNA, 28S ribosomal 5	Approved	RN28S1		22p12 not on reference assembly		NR_146118	RNA28S	28S ribosomal RNAs	1385
44274	RNA45S1	RNA, 45S pre-ribosomal 1	Approved			13p12 not on reference assembly			RNA45S	45S pre-ribosomal RNAs	1382
44275	RNA45S2	RNA, 45S pre-ribosomal 2	Approved			14p12 not on reference assembly			RNA45S	45S pre-ribosomal RNAs	1382
44276	RNA45S3	RNA, 45S pre-ribosomal 3	Approved			15p12 not on reference assembly			RNA45S	45S pre-ribosomal RNAs	1382
44277	RNA45S4	RNA, 45S pre-ribosomal 4	Approved			21p12 not on reference assembly		NR_145819	RNA45S	45S pre-ribosomal RNAs	1382
44273	RNA45S5	RNA, 45S pre-ribosomal 5	Approved			22p12 not on reference assembly		NR_146117	RNA45S	45S pre-ribosomal RNAs	1382
5286	HTR1A	5-hydroxytryptamine receptor 1A	Approved	ADRB2RL1, ADRBRL1	5-HT1A	5q12.3	AF498978	NM_000524		5-hydroxytryptamine receptors, G protein-coupled	170
5287	HTR1B	5-hydroxytryptamine receptor 1B	Approved		S12, 5-HT1B, HTR1D2, 5-HT1DB	6q14.1	BC069065	NM_000863		5-hydroxytryptamine receptors, G protein-coupled	170
5289	HTR1D	5-hydroxytryptamine receptor 1D	Approved	HTRL	RDC4, HT1DA, 5-HT1D	1p36.12	M89955	NM_000864		5-hydroxytryptamine receptors, G protein-coupled	170
5291	HTR1E	5-hydroxytryptamine receptor 1E	Approved		5-HT1E	6q14.3		NM_000865		5-hydroxytryptamine receptors, G protein-coupled	170
5292	HTR1F	5-hydroxytryptamine receptor 1F	Approved		HTR1EL, 5-HT1F	3p12	L05597	NM_000866		5-hydroxytryptamine receptors, G protein-coupled	170
5293	HTR2A	5-hydroxytryptamine receptor 2A	Approved	HTR2	5-HT2A	13q14.2	X57830	NM_000621		5-hydroxytryptamine receptors, G protein-coupled	170
5294	HTR2B	5-hydroxytryptamine receptor 2B	Approved		5-HT(2B), 5-HT2B	2q37.1		NM_000867		5-hydroxytryptamine receptors, G protein-coupled	170
5295	HTR2C	5-hydroxytryptamine receptor 2C	Approved	HTR1C	5-HT2C, 5HTR2C	Xq23		NM_000868		5-hydroxytryptamine receptors, G protein-coupled	170
5299	HTR4	5-hydroxytryptamine receptor 4	Approved		5-HT4	5q32	Y08756	NM_000870		5-hydroxytryptamine receptors, G protein-coupled	170
5300	HTR5A	5-hydroxytryptamine receptor 5A	Approved		5-HT5A	7q36.2		NM_024012		5-hydroxytryptamine receptors, G protein-coupled	170
5301	HTR6	5-hydroxytryptamine receptor 6	Approved		5-HT6, 5-HT6R	1p36.13	L41147	NM_000871		5-hydroxytryptamine receptors, G protein-coupled	170
5302	HTR7	5-hydroxytryptamine receptor 7	Approved		5-HT7	10q23.31	BC047526	NM_000872		5-hydroxytryptamine receptors, G protein-coupled	170
16291	HTR5BP	5-hydroxytryptamine receptor 5B, pseudogene	Approved	GPR134, HTR5B	5-HT5B	2q14.1	AB065453	NG_008325		5-hydroxytryptamine receptors, G protein-coupled	170
5297	HTR3A	5-hydroxytryptamine receptor 3A	Approved	HTR3	5-HT3R, 5-HT3A	11q23.2	D49394	NM_000869		5-hydroxytryptamine receptors, ionotropic 	172
5298	HTR3B	5-hydroxytryptamine receptor 3B	Approved		5-HT3B	11q23.2	AF080582	NM_006028		5-hydroxytryptamine receptors, ionotropic 	172
24003	HTR3C	5-hydroxytryptamine receptor 3C	Approved			3q27.1	AF459285	NM_130770		5-hydroxytryptamine receptors, ionotropic 	172
24004	HTR3D	5-hydroxytryptamine receptor 3D	Approved			3q27.1	AY159812	NM_182537		5-hydroxytryptamine receptors, ionotropic 	172
24005	HTR3E	5-hydroxytryptamine receptor 3E	Approved			3q27.1	AY159813	NM_182589		5-hydroxytryptamine receptors, ionotropic 	172
44282	RNA5-8S1	RNA, 5.8S ribosomal 1	Approved			13p12 not on reference assembly			RNA5-8S	5.8S ribosomal RNAs	1384
44283	RNA5-8S2	RNA, 5.8S ribosomal 2	Approved			14p12 not on reference assembly			RNA5-8S	5.8S ribosomal RNAs	1384
44284	RNA5-8S3	RNA, 5.8S ribosomal 3	Approved			15p12 not on reference assembly			RNA5-8S	5.8S ribosomal RNAs	1384
44285	RNA5-8S4	RNA, 5.8S ribosomal 4	Approved			21p12 not on reference assembly		NR_145821	RNA5-8S	5.8S ribosomal RNAs	1384
37660	RNA5-8S5	RNA, 5.8S ribosomal 5	Approved	RN5-8S1		22p12 not on reference assembly		NR_146120	RNA5-8S	5.8S ribosomal RNAs	1384
17144	NT5C	5', 3'-nucleotidase, cytosolic	Approved	UMPH2	DNT1, DNT-1, PN-I, cdN, dNT-1	17q25	AF154829			5'-nucleotidases	1042
17819	NT5C1A	5'-nucleotidase, cytosolic IA	Approved		CN-I, CN-IA, CN1A, CN1, MGC119199, MGC119201	1p34.2	AF331801	NM_032526		5'-nucleotidases	1042
17818	NT5C1B	5'-nucleotidase, cytosolic IB	Approved		AIRP, CN-IB	2p24.2	AF356185			5'-nucleotidases	1042
8022	NT5C2	5'-nucleotidase, cytosolic II	Approved	NT5B	PNT5, GMP, cN-II, SPG65	10q24.32-q24.33	D38524	NM_012229		5'-nucleotidases	1042
17820	NT5C3A	5'-nucleotidase, cytosolic IIIA	Approved	NT5C3	UMPH1, PSN1, PN-I, UMPH, P5'N-1, cN-III, p36, POMP, hUMP1	7p14.3	AF312735	NM_016489		5'-nucleotidases	1042
15769	NT5M	5',3'-nucleotidase, mitochondrial	Approved		dNT-2, dNT2, mdN	17p11.2	AF210652			5'-nucleotidases	1042
8021	NT5E	5'-nucleotidase ecto	Approved	NT5	CD73, eN, eNT, CALJA	6q14.3	X55740			5'-nucleotidases	1042
30134	PELP1	proline, glutamate and leucine rich protein 1	Approved		MNAR	17p13.2		NM_014389		5FMC ribosome biogenesis complex	1301
25988	TEX10	testis expressed 10	Approved		FLJ20287, bA208F1.2, Ipi1	9q31.1	AB060968	NM_017746		5FMC ribosome biogenesis complex	1301
25726	LAS1L	LAS1 like, ribosome biogenesis factor	Approved		FLJ12525	Xq12	BC014545	NM_031206		5FMC ribosome biogenesis complex	1301
26265	NOL9	nucleolar protein 9	Approved		FLJ23323, NET6, Grc3	1p36.31	AK091284	NM_024654		5FMC ribosome biogenesis complex	1301
17956	WDR18	WD repeat domain 18	Approved		Ipi3	19p13.3				5FMC ribosome biogenesis complex	1301
17862	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	Approved		DKFZP586K0919, SSP3, DKFZp762A152, SMT3IP1, Ulp1	17p13	AK000923	NM_015670		5FMC ribosome biogenesis complex	1301
34362	RNA5S1	RNA, 5S ribosomal 1	Approved	RN5S1		1q42.13		NR_023363	RNA5S	5S ribosomal RNAs	1380
34371	RNA5S10	RNA, 5S ribosomal 10	Approved	RN5S10		1q42.13		NR_023372	RNA5S	5S ribosomal RNAs	1380
34372	RNA5S11	RNA, 5S ribosomal 11	Approved	RN5S11		1q42.13		NR_023373	RNA5S	5S ribosomal RNAs	1380
34373	RNA5S12	RNA, 5S ribosomal 12	Approved	RN5S12		1q42.13		NR_023374	RNA5S	5S ribosomal RNAs	1380
34374	RNA5S13	RNA, 5S ribosomal 13	Approved	RN5S13		1q42.13		NR_023375	RNA5S	5S ribosomal RNAs	1380
34375	RNA5S14	RNA, 5S ribosomal 14	Approved	RN5S14		1q42.13		NR_023376	RNA5S	5S ribosomal RNAs	1380
34376	RNA5S15	RNA, 5S ribosomal 15	Approved	RN5S15		1q42.13		NR_023377	RNA5S	5S ribosomal RNAs	1380
34377	RNA5S16	RNA, 5S ribosomal 16	Approved	RN5S16		1q42.13		NR_023378	RNA5S	5S ribosomal RNAs	1380
34378	RNA5S17	RNA, 5S ribosomal 17	Approved	RN5S17		1q42.13		NR_023379	RNA5S	5S ribosomal RNAs	1380
34363	RNA5S2	RNA, 5S ribosomal 2	Approved	RN5S2		1q42.13		NR_023364	RNA5S	5S ribosomal RNAs	1380
34364	RNA5S3	RNA, 5S ribosomal 3	Approved	RN5S3		1q42.13		NR_023365	RNA5S	5S ribosomal RNAs	1380
34365	RNA5S4	RNA, 5S ribosomal 4	Approved	RN5S4		1q42.13		NR_023366	RNA5S	5S ribosomal RNAs	1380
34366	RNA5S5	RNA, 5S ribosomal 5	Approved	RN5S5		1q42.13		NR_023367	RNA5S	5S ribosomal RNAs	1380
34367	RNA5S6	RNA, 5S ribosomal 6	Approved	RN5S6		1q42.13		NR_023368	RNA5S	5S ribosomal RNAs	1380
34368	RNA5S7	RNA, 5S ribosomal 7	Approved	RN5S7		1q42.13		NR_023369	RNA5S	5S ribosomal RNAs	1380
34369	RNA5S8	RNA, 5S ribosomal 8	Approved	RN5S8		1q42.13		NR_023370	RNA5S	5S ribosomal RNAs	1380
34370	RNA5S9	RNA, 5S ribosomal 9	Approved	RN5S9		1q42.13		NR_023371	RNA5S	5S ribosomal RNAs	1380
8872	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	Approved	PFRX		Xp11.21			PFKFB	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	1077
8873	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	Approved			1q32.1			PFKFB	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	1077
8874	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Approved			10p15.1		NM_004566	PFKFB	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	1077
8875	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	Approved			3p21.31	BC010269	NM_004567	PFKFB	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	1077
1755	CDH16	cadherin 16	Approved			16q22.1	AF016272	NM_004062		7D cadherins	1187
1756	CDH17	cadherin 17	Approved		HPT-1, cadherin	8q22.1	X83228	NM_004063		7D cadherins	1187
17830	GPR107	G protein-coupled receptor 107	Approved		KIAA1624, RP11-88G17, FLJ20998, LUSTR1	9q34.11	AF376725			7TM orphan receptors	310
17829	GPR108	G protein-coupled receptor 108	Approved		LUSTR2	19p13.3				7TM orphan receptors	310
24300	GPR137	G protein-coupled receptor 137	Approved		C11orf4, GPR137A, TM7SF1L1	11q13.1	AJ250392	NM_020155		7TM orphan receptors	310
20145	GPR143	G protein-coupled receptor 143	Approved	OA1		Xp22.2	Z48804	NM_000273		7TM orphan receptors	310
30413	TPRA1	transmembrane protein adipocyte associated 1	Approved	GPR175	TPRA40, FLJ32197, TMEM227	3q21.3	AK056759	NM_016372		7TM orphan receptors	310
23687	GPR157	G protein-coupled receptor 157	Approved		FLJ12132	1p36.22	AK022194	NM_024980		7TM orphan receptors	310
15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	AB043587	NM_022735	AKAP	A-kinase anchoring proteins	396
367	AKAP1	A-kinase anchoring protein 1	Approved	PRKA1	AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17	17q22	X97335		AKAP	A-kinase anchoring proteins	396
368	AKAP10	A-kinase anchoring protein 10	Approved		D-AKAP2, PRKA10, MGC9414	17p11.2	AF037439	NM_007202	AKAP	A-kinase anchoring proteins	396
369	AKAP11	A-kinase anchoring protein 11	Approved		KIAA0629, AKAP220, PRKA11, FLJ11304, DKFZp781I12161, PPP1R44	13q14.11	AB014529	NM_016248	AKAP	A-kinase anchoring proteins	396
370	AKAP12	A-kinase anchoring protein 12	Approved		AKAP250, SSeCKS	6q25.1	U81607		AKAP	A-kinase anchoring proteins	396
371	AKAP13	A-kinase anchoring protein 13	Approved	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13	15q25.3	M90360	NM_007200	AKAP	A-kinase anchoring proteins	396
24061	AKAP14	A-kinase anchoring protein 14	Approved		AKAP28	Xq24	AF514780	NM_178813	AKAP	A-kinase anchoring proteins	396
18783	AKAP17A	A-kinase anchoring protein 17A	Approved	CXYorf3, SFRS17A	XE7, XE7Y, DXYS155E, MGC39904, 721P, CCDC133	Xp22.33 and Yp11.32	L03426	NM_005088	AKAP	A-kinase anchoring proteins	396
38514	AKAP17BP	A-kinase anchoring protein 17B, pseudogene	Approved	AKAP16B, AKAP16BP		Xq24		NG_022632	AKAP	A-kinase anchoring proteins	396
372	AKAP2	A-kinase anchoring protein 2	Approved	PRKA2	AKAP-KL, KIAA0920, DKFZp564L0716, MISP2	9q31.3	AB023137	NM_001004065	AKAP	A-kinase anchoring proteins	396
373	AKAP3	A-kinase anchoring protein 3	Approved		FSP95, SOB1, AKAP110, CT82	12p13.32	U85715	NM_006422	AKAP	A-kinase anchoring proteins	396
374	AKAP4	A-kinase anchoring protein 4	Approved		p82, hAKAP82, AKAP82, Fsc1, HI, CT99	Xp11.22	AF072756	NM_003886	AKAP	A-kinase anchoring proteins	396
375	AKAP5	A-kinase anchoring protein 5	Approved		AKAP75, AKAP79	14q23.3	M90359		AKAP	A-kinase anchoring proteins	396
376	AKAP6	A-kinase anchoring protein 6	Approved		KIAA0311, mAKAP, AKAP100, PRKA6, ADAP6	14q12	AB002309	NM_004274	AKAP	A-kinase anchoring proteins	396
377	AKAP7	A-kinase anchoring protein 7	Approved		AKAP18, AKAP15	6q23.2	AF047715	NM_004842	AKAP	A-kinase anchoring proteins	396
378	AKAP8	A-kinase anchoring protein 8	Approved		AKAP95, DKFZp586B1222	19p13.12	Y11997	NM_005858	AKAP	A-kinase anchoring proteins	396
379	AKAP9	A-kinase anchoring protein 9	Approved		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11	7q21.2	AF091711	NM_005751	AKAP	A-kinase anchoring proteins	396
15853	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	Approved		BIG2	20q13.13	AF084521	NM_006420	AKAP	A-kinase anchoring proteins	396
1537	CBFA2T3	CBFA2/RUNX1 translocation partner 3	Approved		MTGR2, ZMYND4, MTG16, RUNX1T3, ETO2	16q24.3	AF052213	NM_005187	AKAP	A-kinase anchoring proteins	396
14305	CMYA5	cardiomyopathy associated 5	Approved	C5orf10	myospryn, SPRYD2, DKFZp451G223, TRIM76	5q14.1	AW755254, AL831986	NM_153610	AKAP	A-kinase anchoring proteins	396
12691	EZR	ezrin	Approved	VIL2		6q25.3	AF187552	NM_003379	AKAP	A-kinase anchoring proteins	396
6839	MAP2	microtubule associated protein 2	Approved		MAP2A, MAP2B, MAP2C	2q34		NM_001039538	AKAP	A-kinase anchoring proteins	396
7606	MYO7A	myosin VIIA	Approved	USH1B, DFNB2, DFNA11	NSRD2	11q13.5	U39226	NM_000260	AKAP	A-kinase anchoring proteins	396
19156	MYRIP	myosin VIIA and Rab interacting protein	Approved		DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C	3p22.1	AF396687	NM_015460	AKAP	A-kinase anchoring proteins	396
7648	NBEA	neurobeachin	Approved		KIAA1544, BCL8B, FLJ10197, LYST2	13q13.3	AF467288	NM_015678	AKAP	A-kinase anchoring proteins	396
7773	NF2	neurofibromin 2	Approved		merlin, ACN, SCH, BANF	22q12.2	L11353	NM_000268	AKAP	A-kinase anchoring proteins	396
9772	RAB32	RAB32, member RAS oncogene family	Approved			6q24.3	U71127	NM_006834	AKAP	A-kinase anchoring proteins	396
30619	SPHKAP	SPHK1 interactor, AKAP domain containing	Approved		SKIP	2q36.3		NM_030623	AKAP	A-kinase anchoring proteins	396
24466	SYNM	synemin	Approved	DMN	KIAA0353, SYN	15q26.3	AK026420	NM_145728	AKAP	A-kinase anchoring proteins	396
12732	WASF1	WAS protein family member 1	Approved		WAVE1, SCAR1, KIAA0269, WAVE	6q21	D87459	NM_003931	AKAP	A-kinase anchoring proteins	396
314	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	Approved	AFG3, AFG3L1		16q24.3	AJ001495	NR_003226	ATAD	AAA ATPases	413
315	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	Approved	SCA28	SPAX5	18p11.21	Y18314	NM_006796	ATAD	AAA ATPases	413
25903	ATAD1	ATPase family, AAA domain containing 1	Approved		FLJ14600	10q23.31	AL834370	NM_032810	ATAD	AAA ATPases	413
30123	ATAD2	ATPase family, AAA domain containing 2	Approved		PRO2000, DKFZp667N1320, MGC5254, MGC29843, CT137, ANCCA	8q24.13	BC019909	NM_014109	ATAD	AAA ATPases	413
29230	ATAD2B	ATPase family, AAA domain containing 2B	Approved		KIAA1240	2p24.1-p23.3	AB033066	NM_017552	ATAD	AAA ATPases	413
25567	ATAD3A	ATPase family, AAA domain containing 3A	Approved		FLJ10709	1p36.33	AK025865	NM_018188	ATAD	AAA ATPases	413
24007	ATAD3B	ATPase family, AAA domain containing 3B	Approved		TOB3, KIAA1273	1p36.33	AL834179	NM_031921	ATAD	AAA ATPases	413
32151	ATAD3C	ATPase family, AAA domain containing 3C	Approved		FLJ34599	1p36.33	AK091918	NM_001039211	ATAD	AAA ATPases	413
25752	ATAD5	ATPase family, AAA domain containing 5	Approved	C17orf41	FLJ12735, FRAG1, ELG1	17q11.2		NM_024857	ATAD	AAA ATPases	413
1020	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	Approved		Hs.6719, BCS, h-BCS, BJS	2q35	AF026849	NM_004328	ATAD	AAA ATPases	413
18435	CHTF18	chromosome transmission fidelity factor 18	Approved	C16orf41	CHL12, C321D2.4, Ctf18	16p13.3	BC018184	NM_022092	ATAD	AAA ATPases	413
30664	CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	Approved		HSP78, SKD3, FLJ13152, ANKCLB	11q13.4	BC006404	NM_030813	ATAD	AAA ATPases	413
2084	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Approved			19p13.3	Z50853	NM_006012	ATAD	AAA ATPases	413
2088	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	Approved			15q22.31	AJ006267	NM_006660	ATAD	AAA ATPases	413
13285	FIGN	fidgetin, microtubule severing factor	Approved			2q24.3	AK001267	NM_018086	ATAD	AAA ATPases	413
13286	FIGNL1	fidgetin like 1	Approved			7p12.2	AK023142	NM_001042762	ATAD	AAA ATPases	413
13287	FIGNL2	fidgetin like 2	Approved			12q13.13	AK129980	NM_001013690	ATAD	AAA ATPases	413
26195	IQCA1	IQ motif containing with AAA domain 1	Approved	IQCA	FLJ22527, DRC11	2q37.2-q37.3	AK026180	NM_024726	ATAD	AAA ATPases	413
6216	KATNA1	katanin catalytic subunit A1	Approved			6q25.1	AF056022	NM_007044	ATAD	AAA ATPases	413
28361	KATNAL1	katanin catalytic subunit A1 like 1	Approved		MGC2599	13q12.3	AK097423	NM_032116	ATAD	AAA ATPases	413
25387	KATNAL2	katanin catalytic subunit A1 like 2	Approved		MGC33211, DKFZP667C165	18q21.1	BC034999	NM_031303	ATAD	AAA ATPases	413
9479	LONP1	lon peptidase 1, mitochondrial	Approved	PRSS15	LonHS, hLON, PIM1	19p13.2	U02389	NM_004793	ATAD	AAA ATPases	413
20598	LONP2	lon peptidase 2, peroxisomal	Approved		MGC4840, LONP, LONPL	16q12.1	AJ548761	NM_031490	ATAD	AAA ATPases	413
8016	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	Approved		SKD2, SEC18	17q21.31		NM_006178	ATAD	AAA ATPases	413
8070	NVL	nuclear VCP-like	Approved		NVL2	1q42.11	U78772	NM_002533	ATAD	AAA ATPases	413
8487	ORC1	origin recognition complex subunit 1	Approved	ORC1L	HSORC1, PARC1	1p32.3		NM_004153	ATAD	AAA ATPases	413
8490	ORC4	origin recognition complex subunit 4	Approved	ORC4L	HsORC4, Orc4p	2q23.1	AF022108	NM_181742	ATAD	AAA ATPases	413
8850	PEX1	peroxisomal biogenesis factor 1	Approved	ZWS1, ZWS		7q21.2	AF026086	NM_000466	ATAD	AAA ATPases	413
8859	PEX6	peroxisomal biogenesis factor 6	Approved		PXAAA1, PAF-2	6p21.1	U56602	NM_000287	ATAD	AAA ATPases	413
9547	PSMC1	proteasome 26S subunit, ATPase 1	Approved		S4, p56	14q32.11	L02426	NM_002802	ATAD	AAA ATPases	413
9548	PSMC2	proteasome 26S subunit, ATPase 2	Approved		MSS1, S7, Nbla10058	7q22.1	D11094	NM_002803	ATAD	AAA ATPases	413
9549	PSMC3	proteasome 26S subunit, ATPase 3	Approved		TBP1, TBP-1	11p11.2	M34079	NM_002804	ATAD	AAA ATPases	413
9551	PSMC4	proteasome 26S subunit, ATPase 4	Approved	MIP224	TBP7, S6, MGC8570, MGC13687, MGC23214, TBP-7	19q13.11-q13.13	U27515	NM_006503	ATAD	AAA ATPases	413
9552	PSMC5	proteasome 26S subunit, ATPase 5	Approved		SUG1, p45/SUG, TBP10, p45, S8, TRIP1, SUG-1	17q23.3	L38810	NM_002805	ATAD	AAA ATPases	413
9553	PSMC6	proteasome 26S subunit, ATPase 6	Approved		p42	14q22.1		NM_002806	ATAD	AAA ATPases	413
9969	RFC1	replication factor C subunit 1	Approved		A1, PO-GA, RFC140, MHCBFB	4p14	L23320	NM_002913	ATAD	AAA ATPases	413
9970	RFC2	replication factor C subunit 2	Approved		A1, RFC40	7q11.23		NM_181471	ATAD	AAA ATPases	413
9971	RFC3	replication factor C subunit 3	Approved		RFC38, MGC5276	13q13.2		NM_002915	ATAD	AAA ATPases	413
9972	RFC4	replication factor C subunit 4	Approved		A1, RFC37	3q27.3		NM_002916	ATAD	AAA ATPases	413
9973	RFC5	replication factor C subunit 5	Approved		RFC36	12q24.23		NM_007370	ATAD	AAA ATPases	413
